group,name,label,o-issn,p-issn,url,publisher,current-dois,backfile-dois,total-dois,crossref
Communication,First Monday,First-Monday,1396-0466,,https://firstmonday.org/ojs/index.php/fm/index,other,173,2501,2674,T
Communication,Human-Machine Communication,Human-Machine-Communication,2638-6038,,https://stars.library.ucf.edu/hmc/about.html,other,40,41,81,T
Communication,Media and Communication,Media-and-Communication,2183-2439,,https://www.cogitatiopress.com/mediaandcommunication,other,351,754,1105,T
Communication,Communication Theory,Communication-Theory,1468-2885,,https://academic.oup.com/ct,oup,43,1071,1114,T
Communication,Journal of Computer-Mediated Communication,Journal-of-Computer-Mediated-Communication,1083-6101,,https://academic.oup.com/jcmc,oup,86,1063,1149,T
Communication,Journal of Communication,Journal-of-Communication,1460-2466,0021-9916,https://academic.oup.com/JOC,oup,105,4955,5060,T
Communication,Communication Theory,Communication-Theory,1468-2885,,https://academic.oup.com/ct,oup,43,1071,1114,T
Communication,Big Data and Society,Big-Data-and-Society,2053-9517,2053-9517,https://journals.sagepub.com/home/bds,sagepub,240,551,791,T
Communication,Convergence,Convergence,1748-7382,1354-8565,https://journals.sagepub.com/home/con,sagepub,262,1480,1742,T
Communication,Communication Research,Communication-Research,1552-3810,0093-6502,https://journals.sagepub.com/home/crx,sagepub,120,1840,1960,T
Communication,Emerging Media,Emerging-Media,2752-3551,2752-3543,https://journals.sagepub.com/home/EMM,sagepub,66,0,66,T
Communication,Global Media and China,Global-Media-and-China,2059-4372,2059-4364,https://journals.sagepub.com/home/gch,sagepub,117,234,351,T
Communication,"Media, Culture and Society",Media-Culture-and-Society,1460-3675,0163-4437,https://journals.sagepub.com/home/mcs,sagepub,224,3114,3338,T
Communication,New Media and Society,New-Media-and-Society,1461-7315,1461-4448,https://journals.sagepub.com/home/nms,sagepub,542,2927,3469,T
Communication,Plaforms and Society,Plaforms-and-Society,2976-8624,2976-8624,https://journals.sagepub.com/home/pns,sagepub,23,0,23,T
Communication,Social Media and Society,Social-Media-and-Society,2056-3051,,https://journals.sagepub.com/home/sms,sagepub,374,933,1307,T
Communication,Television and New Media,Television-and-New-Media,1552-8316,1527-4764,https://journals.sagepub.com/home/tvn,sagepub,126,1016,1142,T
Communication,Popular Communication,Popular-Communication,1540-5710,1540-5702,https://www.tandfonline.com/journals/hppc20,tandf,39,559,598,T
Communication,"Information, Communication and Society",Inofrmation-Communication-and-Society,1468-4462,1369-118X,https://www.tandfonline.com/journals/rics20,tandf,345,2486,2831,T
Communication,Surveillance and Society,Surveillance-and-Society,1477-7487,,https://ojs.library.queensu.ca/index.php/surveillance-and-society/index,other,106,968,1074,T
Communication,Internet Policy Review,Internet-Policy-Review,2197-6775,,https://policyreview.info/,other,83,304,387,T
Communication,Mobile Media and Communication,Mobile-Media-and-Communication,2050-1587,2050-1579,https://journals.sagepub.com/home/mmc,sagepub,88,369,457,T
Communication,Participations,Participations,1749-8716,,http://www.participations.org/index.htm,other,,,,F
Communication,International Journal of Communication,International-Journal-of-Communication,1932-8036,,https://ijoc.org/index.php/ijoc/,other,,,,F
CulturalStudies,Asiascape: Digital Asia,Asiascape-Digital-Asia,2214-2312,2214-2304,https://brill.com/view/journals/dias/dias-overview.xml?language=en,other,34,164,198,T
CulturalStudies,Public Culture,Public-Culture,1527-8018,0899-2363,https://read.dukeupress.edu/public-culture,other,45,1195,1240,T
CulturalStudies,Cultural Anthropology,Cultural-Anthropology,1548-1360,0886-7356,https://journal.culanth.org/index.php/ca/about,other,56,1267,1323,T
CulturalStudies,Current Anthropology,Current-Anthropology,1537-5382,0011-3204,https://www.journals.uchicago.edu/toc/ca/current,other,158,8334,8492,T
CulturalStudies,"Communication, Culture and Critique",Communication-Culture-and-Critique,1753-9137,,https://academic.oup.com/ccc,oup,93,642,735,T
CulturalStudies,European Journal of Cultural Studies,European-Journal-of-Cultural-Studies,1460-3551,1367-5494,https://journals.sagepub.com/home/ecs,sagepub,202,1248,1450,T
CulturalStudies,International Journal of Cultural Studies,International-Journal-of-Cultural-Studies,1460-356X,1367-8779,https://journals.sagepub.com/home/ics,sagepub,134,1013,1147,T
